"행정구역(시군구)별","연령별","항목","단위","2023.01 월","2023.02 월","2023.03 월","2023.04 월","2023.05 월","2023.06 월","2023.07 월","2023.08 월","2023.09 월","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"울산광역시","60 - 64세","총전출[명]","명","452","519","563","521","515","562","485","505","412","","","","","","","","","","","","","","","","","","","","","","","","","","","","2050","2132","2677","2504","2504","2799","3391","3409","3309","3738","3761","3661","3751","3844","4172","4431","4416","5268","6010","6166","5901","6086","7116","7828","8266","6338",
"울산광역시","60 - 64세","순이동[명]","명","-37","-77","-80","-81","4","-15","-57","-29","-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","213","50","210","240","187","161","168","167","161","-52","-162","-36","-212","-92","-106","-77","-161","-234","-321","-569","-672","-678","-549","-860","-996","-776",
"울산광역시","60 - 64세","시도내이동-시군구내[명]","명","116","134","160","142","172","175","153","153","142","","","","","","","","","","","","","","","","","","","","","","","","","","","","692","619","840","816","774","868","1110","1219","1088","1271","1227","1158","1136","1245","1421","1553","1517","1804","1995","2085","1846","1939","2358","2579","2767","1982",
"울산광역시","60 - 64세","시도내이동-시군구간 전입[명]","명","153","176","174","157","181","204","155","166","133","","","","","","","","","","","","","","","","","","","","","","","","","","","","641","709","885","900","912","953","1136","1200","1124","1245","1281","1337","1287","1348","1406","1466","1466","1898","2138","2074","2021","2036","2617","2654","2659","2047",
"울산광역시","60 - 64세","시도내이동-시군구간 전출[명]","명","153","176","174","157","181","204","155","166","133","","","","","","","","","","","","","","","","","","","","","","","","","","","","641","709","885","900","912","953","1136","1200","1124","1245","1281","1337","1287","1348","1406","1466","1466","1898","2138","2074","2021","2036","2617","2654","2659","2047",
"울산광역시","60 - 64세","시도간전입[명]","명","146","132","149","141","166","168","120","157","115","","","","","","","","","","","","","","","","","","","","","","","","","","","","930","854","1162","1028","1005","1139","1313","1157","1258","1170","1091","1130","1116","1159","1239","1335","1272","1332","1556","1438","1362","1433","1592","1735","1844","1533",
"울산광역시","60 - 64세","시도간전출[명]","명","183","209","229","222","162","183","177","186","137","","","","","","","","","","","","","","","","","","","","","","","","","","","","717","804","952","788","818","978","1145","990","1097","1222","1253","1166","1328","1251","1345","1412","1433","1566","1877","2007","2034","2111","2141","2595","2840","2309",
"울산광역시","65 - 69세","총전입[명]","명","246","267","283","257","296","285","273","280","284","","","","","","","","","","","","","","","","","","","","","","","","","","","","1650","1631","2202","2123","2152","2236","2582","2780","2861","2999","3150","3088","3072","2573","2672","2671","2574","3000","3280","2987","3006","3103","3419","4052","4209","3352",
"울산광역시","65 - 69세","총전출[명]","명","252","293","304","286","304","304","315","296","261","","","","","","","","","","","","","","","","","","","","","","","","","","","","1475","1571","1972","1869","1912","2105","2366","2554","2639","2938","3249","3070","3041","2572","2686","2666","2590","3052","3341","3213","3275","3364","3622","4332","4639","3663",
"울산광역시","65 - 69세","순이동[명]","명","-6","-26","-21","-29","-8","-19","-42","-16","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","175","60","230","254","240","131","216","226","222","61","-99","18","31","1","-14","5","-16","-52","-61","-226","-269","-261","-203","-280","-430","-311",
